interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
122,2,0,2,0,0,0,0,278,55,66,278,0
123,1,0,1,0,0,0,0,294,61,22,294,0
124,1,0,1,0,0,0,0,297,61,3,297,0
125,1,0,1,0,0,0,0,296,79,17,297,0
126,2,1,1,0,0,0,0,317,97,39,317,0
127,2,1,1,0,0,0,0,332,103,21,332,0
128,1,0,1,0,0,0,0,333,104,2,333,0
129,1,0,0,1,0,0,1,333,104,0,333,0
130,1,0,1,0,0,0,0,333,104,0,333,0
131,2,0,1,1,0,0,0,334,104,1,334,0
132,1,0,1,0,0,0,0,335,104,1,335,0
133,1,0,1,0,0,0,0,332,107,0,335,0
134,1,0,0,1,0,0,1,332,107,0,332,0
135,1,0,1,0,0,0,0,332,107,0,332,0
136,1,0,1,0,0,0,0,332,107,0,332,0
137,1,0,1,0,0,0,0,336,111,8,332,0
138,2,0,1,1,0,0,0,333,115,1,333,0
139,1,0,1,0,0,0,0,333,115,0,333,0
140,1,0,0,1,0,0,1,333,115,0,333,0
141,1,0,1,0,0,0,0,333,115,0,333,0
142,1,0,1,0,0,0,0,333,115,0,333,0
143,2,0,1,1,0,0,0,329,119,0,333,0
144,2,0,1,1,0,0,0,325,123,0,329,0
145,1,0,1,0,0,0,0,322,126,0,329,0
146,1,0,0,1,0,0,1,322,126,0,322,0
147,1,0,1,0,0,0,0,322,126,0,322,0
148,2,0,1,1,0,0,0,322,126,0,322,0
149,1,0,1,0,0,0,0,322,126,0,322,0
150,1,0,0,1,0,0,1,320,128,0,322,0
151,1,0,1,0,0,0,0,322,128,2,322,0
152,1,0,0,1,0,0,1,322,128,0,322,0
153,1,0,1,0,0,0,1,323,128,1,323,0
154,1,0,1,0,0,0,0,321,130,0,323,0
155,1,0,0,1,0,0,1,321,130,0,321,0
156,1,0,1,0,0,0,1,322,130,1,321,0
157,1,0,1,0,0,0,0,324,130,2,318,0
158,2,0,1,1,0,0,0,314,140,0,318,0
159,2,1,0,1,0,0,0,314,140,0,314,0
160,55,0,1,0,49,4,0,314,0,0,314,0
161,2,1,0,1,0,0,0,312,3,1,312,0
162,1,0,1,0,0,0,0,312,3,0,312,0
163,1,0,1,0,0,0,0,312,3,0,312,0
164,1,0,1,0,0,0,0,311,5,1,311,0
