interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
122,1,0,1,0,0,0,0,205,32,0,205,0
123,1,0,1,0,0,0,0,201,37,1,201,0
124,2,0,1,1,0,0,0,200,38,0,200,0
125,1,0,1,0,0,0,0,198,40,0,198,0
126,1,0,0,1,0,0,0,195,43,0,196,0
127,1,0,1,0,0,0,0,195,43,0,195,0
128,1,0,0,1,0,0,0,195,43,0,195,0
129,1,0,1,0,0,0,0,194,44,0,194,0
130,26,0,1,0,22,3,0,194,21,0,194,0
131,1,1,0,0,0,0,0,189,27,1,192,0
132,1,0,0,1,0,0,0,189,27,0,189,0
133,1,0,0,1,0,0,0,189,27,0,189,0
134,1,0,1,0,0,0,0,189,27,0,189,0
135,1,0,1,0,0,0,0,190,27,1,190,0
136,1,0,1,0,0,0,0,190,27,0,190,0
137,1,0,0,1,0,0,0,190,27,0,190,0
138,1,0,1,0,0,0,0,190,27,0,190,0
139,1,0,1,0,0,0,0,191,27,1,191,0
140,93,0,0,1,89,3,0,171,5,1,171,0
141,1,0,1,0,0,0,0,171,5,0,170,0
142,0,0,0,0,0,0,1,170,6,0,170,0
143,1,0,1,0,0,0,0,170,6,0,170,0
144,1,0,0,1,0,0,0,170,6,0,170,0
145,1,0,0,1,0,0,0,167,9,0,169,0
146,1,0,0,1,0,0,0,165,11,0,165,0
147,1,0,0,1,0,0,0,164,12,0,165,0
148,1,0,1,0,0,0,0,161,15,0,161,0
149,1,0,0,1,0,0,0,161,15,0,161,0
150,22,0,0,0,20,2,1,161,5,0,160,0
151,1,0,1,0,0,0,0,149,22,5,151,0
152,1,0,0,1,0,0,0,140,31,0,142,0
153,1,0,1,0,0,0,0,140,31,0,140,0
154,0,0,0,0,0,0,1,140,31,0,140,0
155,1,0,0,1,0,0,0,120,56,5,134,0
156,1,0,1,0,0,0,0,118,58,0,118,0
157,0,0,0,0,0,0,0,118,58,0,118,0
158,1,0,0,1,0,0,0,120,60,4,120,0
159,1,0,1,0,0,0,0,119,61,0,119,0
160,125,0,0,1,121,3,0,120,3,1,120,0
161,0,0,0,0,0,0,0,119,4,0,119,0
162,1,0,0,1,0,0,0,121,4,2,121,0
163,0,0,0,0,0,0,1,118,7,0,119,0
164,0,0,0,0,0,0,1,118,7,0,118,0
165,1,1,0,0,0,0,0,117,8,0,115,0
166,0,0,0,0,0,0,0,111,14,0,111,0
167,0,0,0,0,0,0,0,111,14,0,111,0
168,1,0,1,0,0,0,0,111,14,0,111,0
169,0,0,0,0,0,0,0,111,14,0,111,0
170,17,1,0,0,14,2,0,111,2,2,111,0
171,1,0,0,1,0,0,0,111,2,0,111,0
172,0,0,0,0,0,0,1,109,4,0,109,0
173,0,0,0,0,0,0,0,109,4,0,109,0
174,0,0,0,0,0,0,0,109,4,0,109,0
175,1,0,1,0,0,0,0,109,5,1,109,0
176,1,1,0,0,0,0,0,113,11,12,113,0
177,1,0,1,0,0,0,0,113,11,0,113,0
178,0,0,0,0,0,0,1,113,11,0,113,0
179,0,0,0,0,0,0,0,113,11,0,113,0
180,13,0,0,1,10,2,0,113,1,0,112,0
181,1,0,0,1,0,0,0,113,2,1,113,0
182,1,0,0,1,0,0,0,113,2,0,113,0
183,0,0,0,0,0,0,0,113,2,0,113,0
184,0,0,0,0,0,0,1,113,2,0,113,0
185,1,0,0,1,0,0,0,112,3,0,112,0
186,1,0,1,0,0,0,0,109,6,0,109,0
187,0,0,0,0,0,0,0,105,10,0,105,0
188,1,0,0,1,0,0,0,105,10,0,105,0
189,1,0,1,0,0,0,0,107,12,4,107,0
190,2,0,0,0,0,2,0,107,2,0,107,0
191,1,0,1,0,0,0,0,106,3,0,106,0
192,1,0,0,1,0,0,0,106,3,0,106,0
193,1,0,1,0,0,0,0,106,3,0,106,0
194,1,0,0,1,0,0,0,106,3,0,106,0
195,1,0,0,1,0,0,0,106,4,1,106,0
196,1,0,1,0,0,0,0,107,4,1,107,0
197,0,0,0,0,0,0,0,107,4,0,107,0
198,0,0,0,0,0,0,0,109,4,2,109,0
199,1,0,0,1,0,0,0,107,6,0,107,0
200,5,0,0,0,3,2,0,108,3,2,108,0
201,0,0,0,0,0,0,0,104,7,0,106,0
202,1,0,1,0,0,0,0,103,8,0,103,0
203,1,0,0,1,0,0,0,103,8,0,103,0
204,1,0,1,0,0,0,0,101,10,0,101,0
205,0,0,0,0,0,0,0,100,11,0,100,0
206,1,0,0,1,0,0,0,99,12,0,100,0
207,1,0,0,1,0,0,0,99,12,0,99,0
208,1,0,1,0,0,0,0,95,16,0,97,0
209,1,0,1,0,0,0,0,95,16,0,95,0
210,24,0,0,0,22,2,0,95,3,0,94,0
211,0,0,0,0,0,0,0,91,7,0,91,0
212,0,0,0,0,0,0,0,91,7,0,91,0
213,0,0,0,0,0,0,0,91,7,0,91,0
214,1,0,0,1,0,0,0,91,7,0,91,0
215,1,0,0,1,0,0,0,91,7,0,91,0
216,1,1,0,0,0,0,0,91,7,0,91,0
217,0,0,0,0,0,0,0,89,9,0,91,0
218,0,0,0,0,0,0,0,87,11,0,87,0
219,0,0,0,0,0,0,0,85,13,0,87,0
220,27,0,0,0,24,2,0,83,2,0,83,0
221,0,0,0,0,0,0,0,83,2,0,83,0
222,1,0,0,1,0,0,0,75,10,0,78,0
223,1,0,1,0,0,0,0,63,22,0,63,0
224,0,0,0,0,0,0,0,59,26,0,59,0
225,0,0,0,0,0,0,0,52,33,0,53,0
226,0,0,0,0,0,0,0,42,43,0,45,0
227,1,0,1,0,0,0,0,30,55,0,31,0
228,0,0,0,0,0,0,0,25,60,0,26,0
229,0,0,0,0,0,0,0,25,60,0,25,0
230,152,0,0,0,150,2,0,24,0,0,24,0
231,0,0,0,0,0,0,0,24,0,0,24,0
232,0,0,0,0,0,0,0,24,0,0,24,0
233,1,0,1,0,0,0,0,24,0,0,24,0
234,0,0,0,0,0,0,0,24,0,0,24,0
235,0,0,0,0,0,0,0,24,0,0,24,0
236,1,0,1,0,0,0,0,22,2,0,22,0
237,0,0,0,0,0,0,0,22,2,0,22,0
238,0,0,0,0,0,0,0,22,2,0,22,0
239,1,0,1,0,0,0,0,22,2,0,22,0
240,6,0,0,0,6,0,0,22,0,0,22,0
241,1,1,0,0,0,0,0,22,0,0,22,0
242,0,0,0,0,0,0,0,22,0,0,22,0
243,0,0,0,0,0,0,0,22,0,0,22,0
244,0,0,0,0,0,0,0,22,0,0,22,0
245,0,0,0,0,0,0,0,20,2,0,20,0
246,0,0,0,0,0,0,0,20,2,0,20,0
247,0,0,0,0,0,0,0,18,4,0,18,0
248,0,0,0,0,0,0,0,14,8,0,14,0
249,1,0,1,0,0,0,0,12,10,0,12,0
250,31,0,0,0,31,0,0,12,0,0,12,0
251,0,0,0,0,0,0,0,12,0,0,12,0
252,0,0,0,0,0,0,1,12,0,0,12,0
253,1,0,0,1,0,0,0,10,2,0,12,0
254,0,0,0,0,0,0,0,10,2,0,10,0
255,0,0,0,0,0,0,1,10,2,0,10,0
256,1,0,1,0,0,0,0,8,4,0,8,0
257,0,0,0,0,0,0,0,8,4,0,8,0
258,0,0,0,0,0,0,1,8,4,0,8,0
259,0,0,0,0,0,0,0,6,6,0,6,0
