interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
122,1,0,1,0,0,0,0,298,0,0,298,0
123,1,0,1,0,0,0,0,297,1,0,297,0
124,1,0,1,0,0,0,0,299,1,2,299,0
125,1,0,0,1,0,0,0,299,1,0,299,0
126,1,0,1,0,0,0,0,299,1,0,299,0
127,1,0,1,0,0,0,0,300,1,1,300,0
128,1,0,1,0,0,0,1,301,1,1,301,0
129,1,0,1,0,0,0,0,301,1,0,301,0
130,1,0,0,1,0,0,0,301,1,0,301,0
131,1,0,1,0,0,0,0,302,1,1,302,0
132,1,0,1,0,0,0,0,302,2,1,303,0
133,1,0,1,0,0,0,0,302,2,0,302,0
134,1,0,1,0,0,0,0,302,2,0,300,0
135,1,0,1,0,0,0,0,301,4,1,301,0
136,1,0,1,0,0,0,0,301,4,0,301,0
137,1,0,0,1,0,0,1,301,4,0,301,0
138,1,0,1,0,0,0,0,301,4,0,301,0
139,1,0,1,0,0,0,0,301,4,0,301,0
140,4,0,0,1,0,3,1,301,0,1,301,0
141,1,0,1,0,0,0,0,301,0,0,301,0
142,1,0,0,1,0,0,1,301,0,0,301,0
143,2,0,1,1,0,0,0,301,0,0,301,0
144,1,0,1,0,0,0,0,299,2,0,299,0
145,1,0,0,1,0,0,1,299,2,0,299,0
146,2,1,0,1,0,0,0,300,2,1,300,0
147,1,0,1,0,0,0,0,299,3,0,300,0
148,1,0,0,1,0,0,1,297,6,1,298,0
149,1,0,1,0,0,0,0,297,6,0,297,0
150,1,0,1,0,0,0,0,297,6,0,297,0
151,1,0,0,0,0,0,0,296,7,0,296,0
152,1,0,1,0,0,0,0,295,8,0,295,0
153,1,0,1,0,0,0,0,296,8,1,296,0
154,1,0,0,1,0,0,1,296,8,0,296,0
155,1,0,1,0,0,0,0,296,9,1,296,0
156,2,0,1,1,0,0,0,296,9,0,296,0
157,1,0,0,1,0,0,0,296,9,0,296,0
158,1,0,1,0,0,0,0,296,9,0,296,0
159,1,0,0,1,0,0,1,298,9,2,298,0
160,10,0,1,0,5,4,0,299,0,1,299,0
161,1,0,1,0,0,0,0,299,0,0,299,0
