interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
83,1,0,1,0,0,0,0,173,4,0,172,0
84,1,0,0,1,0,0,0,176,7,6,175,0
85,1,0,0,1,0,0,0,176,7,0,175,0
86,1,0,1,0,0,0,0,176,7,0,175,0
87,0,0,0,0,0,0,0,176,7,0,175,0
88,0,0,0,0,0,0,1,177,8,2,176,0
89,1,0,0,1,0,0,0,177,8,0,176,0
90,1,0,1,0,0,0,0,177,8,0,176,0
91,1,1,0,0,0,0,0,177,8,0,176,0
92,0,0,0,0,0,0,0,179,10,4,176,0
93,0,0,0,0,0,0,0,179,10,0,176,0
94,1,1,0,0,0,0,0,179,10,0,176,0
95,0,0,0,0,0,0,1,179,10,0,176,0
96,1,0,1,0,0,0,0,179,10,0,176,0
97,2,1,0,1,0,0,0,181,10,2,178,0
98,1,0,1,0,0,0,0,181,10,0,178,0
99,1,1,0,0,0,0,0,182,10,1,179,0
100,1,0,1,0,0,0,0,186,13,7,184,0
101,0,0,0,0,0,0,0,186,13,0,184,0
102,1,0,1,0,0,0,0,188,13,2,186,0
103,1,0,1,0,0,0,0,188,13,0,186,0
104,1,0,1,0,0,0,0,188,13,0,185,0
105,2,1,1,0,0,0,0,190,13,2,187,0
106,1,0,1,0,0,0,0,190,13,0,187,0
107,1,0,1,0,0,0,0,190,14,1,187,0
108,1,0,1,0,0,0,0,192,16,4,189,0
109,1,0,1,0,0,0,0,192,16,0,189,0
110,1,0,1,0,0,0,0,192,16,0,189,0
111,1,0,0,1,0,0,0,192,16,0,189,0
112,1,0,1,0,0,0,0,193,17,2,191,0
113,0,0,0,0,0,0,1,193,17,0,191,0
114,1,0,1,0,0,0,0,193,17,0,191,0
115,1,1,0,0,0,0,1,193,17,0,191,0
116,1,0,1,0,0,0,0,195,19,4,192,0
117,1,0,1,0,0,0,0,195,19,0,192,0
118,1,0,1,0,0,0,0,196,20,2,194,0
119,1,0,0,1,0,0,0,196,20,0,194,0
120,3,0,1,0,0,2,0,196,4,0,194,0
121,1,0,1,0,0,0,0,196,4,0,194,0
122,1,0,1,0,0,0,0,196,4,0,193,0
123,1,0,1,0,0,0,0,198,4,2,195,0
124,1,0,1,0,0,0,0,200,6,4,197,0
125,0,0,0,0,0,0,0,202,6,2,199,0
126,0,0,0,0,0,0,0,202,6,0,199,0
127,1,1,0,0,0,0,0,202,6,0,199,0
128,1,0,1,0,0,0,0,204,6,2,201,0
129,1,0,0,1,0,0,0,204,6,0,201,0
130,1,0,1,0,0,0,0,204,6,0,201,0
131,1,0,1,0,0,0,0,204,6,0,201,0
132,2,0,2,0,0,0,0,206,8,4,203,0
133,1,0,1,0,0,0,0,206,8,0,203,0
134,1,0,1,0,0,0,0,206,8,0,203,0
135,1,0,0,1,0,0,0,206,8,0,203,0
136,1,0,1,0,0,0,0,206,8,0,203,0
137,1,1,0,0,0,0,0,206,8,0,203,0
138,1,0,1,0,0,0,0,206,8,0,203,0
139,1,0,1,0,0,0,0,206,10,2,203,0
140,1,0,1,0,0,0,0,208,10,3,205,0
141,1,0,1,0,0,0,0,208,10,0,205,0
142,1,0,1,0,0,0,0,208,10,0,205,0
143,1,0,1,0,0,0,0,208,10,0,205,0
144,0,0,0,0,0,0,0,208,10,0,205,0
145,1,0,0,1,0,0,0,208,10,0,205,0
146,1,0,1,0,0,0,0,212,10,7,209,0
147,1,0,0,1,0,0,0,212,13,3,209,0
148,1,0,1,0,0,0,0,216,13,4,213,0
149,2,0,2,0,0,0,0,216,13,0,213,0
150,1,0,1,0,0,0,0,216,13,0,213,0
151,1,0,1,0,0,0,0,218,13,2,215,0
152,2,0,0,1,0,0,0,218,13,0,215,0
153,1,0,0,1,0,0,0,220,13,6,217,0
154,1,0,1,0,0,0,0,220,13,0,217,0
155,1,0,0,0,0,0,0,220,15,2,217,0
156,1,0,1,0,0,0,0,222,15,2,219,0
157,0,0,0,0,0,0,1,222,15,0,219,0
158,1,0,1,0,0,0,0,222,15,0,219,0
159,1,0,0,1,0,0,0,222,15,0,219,0
160,5,0,1,0,0,4,0,224,4,2,221,0
161,1,0,1,0,0,0,0,226,4,2,223,0
162,1,0,1,0,0,0,0,228,4,2,225,0
163,1,0,1,0,0,0,0,228,4,0,225,0
164,1,0,1,0,0,0,0,232,6,6,229,0
165,1,0,0,1,0,0,1,234,8,12,233,0
166,1,0,1,0,0,0,0,234,8,0,233,0
167,1,0,1,0,0,0,0,234,8,0,233,0
168,1,0,1,0,0,0,0,234,8,0,233,0
169,1,1,0,0,0,0,0,236,8,2,233,0
170,1,0,1,0,0,0,0,236,8,0,233,0
171,1,0,0,1,0,0,1,238,8,2,235,0
172,1,0,1,0,0,0,0,240,10,4,237,0
173,1,0,0,1,0,0,0,240,10,0,237,0
174,1,0,1,0,0,0,0,242,10,2,239,0
175,0,0,0,0,0,0,1,242,10,0,239,0
176,1,0,1,0,0,0,0,242,10,0,239,0
177,1,0,1,0,0,0,0,242,10,0,239,0
178,1,0,0,1,0,0,0,242,10,0,239,0
179,1,0,1,0,0,0,0,242,10,0,239,0
180,1,1,0,0,0,0,0,244,12,4,241,0
181,1,0,1,0,0,0,0,244,12,0,241,0
182,1,0,1,0,0,0,0,245,12,1,242,0
183,1,0,0,1,0,0,0,245,12,0,242,0
184,1,0,1,0,0,0,0,245,12,0,242,0
185,1,0,1,0,0,0,0,245,12,0,242,0
186,0,0,0,0,0,0,0,245,12,0,242,0
187,1,0,0,1,0,0,0,245,13,1,242,0
188,1,0,1,0,0,0,0,247,15,5,244,0
189,1,0,1,0,0,0,0,247,15,0,244,0
190,1,0,1,0,0,0,0,247,15,0,244,0
191,1,0,0,1,0,0,0,247,15,0,244,0
192,1,0,0,1,0,0,0,249,15,2,246,0
193,1,0,1,0,0,0,0,249,15,0,246,0
194,3,1,1,1,0,0,0,249,15,0,246,0
195,2,1,0,1,0,0,0,251,15,3,248,0
196,1,0,1,0,0,0,0,253,17,4,250,0
197,1,0,1,0,0,0,0,255,17,2,252,0
198,1,0,0,1,0,0,0,255,17,0,252,0
199,1,0,1,0,0,0,0,255,17,0,252,0
200,6,0,0,1,0,5,0,255,6,0,252,0
201,1,0,0,1,0,0,0,255,6,0,252,0
202,1,0,1,0,0,0,0,255,6,0,252,0
203,1,0,1,0,0,0,0,255,6,0,252,0
204,1,0,1,0,0,0,0,257,8,4,254,0
205,1,1,0,0,0,0,0,257,8,0,254,0
206,1,0,1,0,0,0,0,257,8,0,254,0
207,1,0,1,0,0,0,0,257,8,0,254,0
208,1,0,1,0,0,0,0,257,8,0,254,0
209,1,0,1,0,0,0,0,257,8,0,254,0
210,1,0,0,1,0,0,1,257,8,0,254,0
211,1,0,1,0,0,0,0,257,10,2,254,0
212,1,0,0,1,0,0,0,259,10,2,256,0
213,0,0,0,0,0,0,1,259,10,0,256,0
214,1,0,0,1,0,0,0,259,10,0,256,0
215,1,0,1,0,0,0,0,261,10,2,258,0
216,2,0,1,1,0,0,0,261,10,0,258,0
217,1,0,1,0,0,0,0,261,10,0,258,0
218,1,0,1,0,0,0,0,263,10,2,260,0
219,2,1,0,1,0,0,0,263,12,2,260,0
220,1,0,1,0,0,0,0,265,12,2,262,0
221,1,0,1,0,0,0,0,265,12,0,262,0
222,1,0,0,1,0,0,0,264,13,0,261,0
223,1,0,1,0,0,0,0,264,13,0,261,0
224,1,0,1,0,0,0,0,264,13,0,261,0
225,1,0,1,0,0,0,0,264,13,0,261,0
226,1,0,0,1,0,0,0,264,13,0,261,0
227,1,0,1,0,0,0,0,264,16,3,261,0
228,1,0,1,0,0,0,0,266,16,2,263,0
229,1,0,1,0,0,0,0,266,16,0,263,0
230,1,0,1,0,0,0,0,266,16,0,263,0
231,1,0,1,0,0,0,0,266,16,0,263,0
232,1,0,1,0,0,0,0,266,16,0,263,0
233,1,0,0,1,0,0,0,266,16,0,263,0
234,1,0,1,0,0,0,0,266,16,0,263,0
235,1,0,0,1,0,0,0,266,18,2,263,0
236,2,0,1,1,0,0,0,268,18,2,265,0
237,1,0,1,0,0,0,0,268,18,0,265,0
238,2,1,1,0,0,0,0,269,18,1,266,0
239,1,0,1,0,0,0,0,269,18,0,266,0
240,7,0,1,1,0,4,2,270,6,1,267,0
241,3,0,2,1,0,0,0,270,6,0,267,0
242,2,1,0,1,0,0,0,269,9,2,265,0
243,1,0,0,1,0,0,0,265,13,0,265,0
244,2,1,0,1,0,0,0,262,20,4,260,0
245,2,1,0,1,0,0,0,260,24,2,260,0
246,2,0,1,1,0,0,0,255,29,0,255,0
247,1,0,0,1,0,0,1,249,37,2,251,0
248,1,0,0,1,0,0,0,249,37,0,251,0
249,1,0,1,0,0,0,0,245,41,0,240,0
250,1,0,0,1,0,0,2,238,50,2,239,0
251,2,0,1,1,0,0,0,234,54,0,231,0
252,2,0,1,1,0,0,0,232,61,5,232,0
253,2,1,0,1,0,0,0,231,63,1,233,0
254,1,0,0,1,0,0,0,229,65,0,230,0
255,1,0,0,1,0,0,1,229,67,2,230,0
256,1,0,1,0,0,0,0,228,68,0,228,0
257,1,0,1,0,0,0,0,227,70,1,226,0
258,1,0,0,1,0,0,0,226,71,0,226,0
259,1,0,0,1,0,0,0,226,71,0,225,0
260,1,0,1,0,0,0,0,224,76,3,224,0
261,1,0,1,0,0,0,0,226,76,3,226,0
262,1,1,0,0,0,0,0,227,76,1,227,0
263,1,0,1,0,0,0,0,227,76,0,227,0
264,1,0,0,1,0,0,0,228,77,2,225,0
265,2,0,1,0,0,0,0,225,80,0,225,0
266,1,0,1,0,0,0,0,224,81,0,224,0
267,1,0,1,0,0,0,0,224,82,1,224,0
268,1,0,1,0,0,0,0,223,85,2,222,0
269,1,0,1,0,0,0,0,225,85,3,224,0
270,1,0,0,1,0,0,1,225,85,0,224,0
271,1,0,0,1,0,0,1,225,85,0,224,0
272,1,0,0,1,0,0,0,224,86,0,224,0
273,1,0,0,1,0,0,0,221,89,0,220,0
274,1,0,0,1,0,0,0,221,89,0,220,0
275,1,1,0,0,0,0,0,221,89,0,220,0
276,3,0,1,2,0,0,0,220,92,2,220,0
277,1,0,1,0,0,0,0,220,94,3,219,0
278,1,0,1,0,0,0,0,220,94,0,219,0
279,1,0,1,0,0,0,0,218,96,0,217,0
280,32,0,1,1,24,5,0,215,22,0,217,0
281,1,0,0,1,0,0,0,212,25,0,211,0
282,3,0,1,2,0,0,0,212,25,0,211,0
283,4,0,1,3,0,0,0,206,31,0,203,0
284,1,0,0,1,0,0,1,203,36,2,203,0
285,1,0,1,0,0,0,0,205,36,3,204,0
286,1,0,1,0,0,0,0,204,37,0,204,0
287,1,0,1,0,0,0,0,204,37,0,203,0
288,1,0,0,1,0,0,0,204,37,0,203,0
289,1,0,1,0,0,0,0,201,40,0,200,0
290,1,0,1,0,0,0,0,201,40,0,200,0
291,1,0,0,1,0,0,0,201,40,0,200,0
292,1,0,1,0,0,0,0,200,43,2,200,0
293,1,0,0,1,0,0,0,202,43,3,201,0
294,1,0,0,1,0,0,0,202,43,0,201,0
295,2,0,1,1,0,0,1,202,43,0,201,0
296,1,0,1,0,0,0,0,202,43,0,201,0
297,1,0,0,1,0,0,0,199,46,0,198,0
298,2,0,1,1,0,0,0,199,46,0,198,0
299,1,0,0,1,0,0,0,198,47,0,196,0
300,1,0,1,0,0,0,0,195,52,2,196,0
301,1,0,0,1,0,0,0,197,52,2,196,0
302,1,0,1,0,0,0,0,197,52,0,196,0
303,4,0,1,3,0,0,0,166,83,0,165,0
304,1,0,1,0,0,0,0,166,83,0,165,0
305,1,0,1,0,0,0,0,166,83,0,165,0
306,1,0,0,1,0,0,0,166,84,1,165,0
307,1,0,0,1,0,0,0,166,84,0,165,0
308,1,0,1,0,0,0,0,166,86,2,161,0
309,1,0,0,1,0,0,0,164,90,2,162,0
310,1,0,0,1,0,0,0,159,95,0,162,0
311,1,0,1,0,0,0,0,158,96,0,157,0
312,0,0,0,0,0,0,0,158,96,0,157,0
313,1,0,0,1,0,0,0,158,96,0,157,0
314,0,0,0,0,0,0,1,158,96,0,157,0
315,1,0,0,1,0,0,1,158,96,0,157,0
316,1,0,0,1,0,0,0,158,98,2,157,0
317,2,1,0,1,0,0,0,160,98,2,159,0
318,1,0,1,0,0,0,0,160,98,0,159,0
319,1,0,0,1,0,0,0,160,98,0,159,0
320,162,0,1,0,157,4,0,158,3,0,159,0
321,1,0,1,0,0,0,0,154,7,0,151,0
322,1,0,0,1,0,0,0,154,7,0,151,0
323,1,0,0,1,0,0,1,151,10,0,149,0
