interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
121,1,0,1,0,0,0,0,257,10,4,260,0
122,2,1,0,1,0,0,0,251,18,2,253,0
123,2,0,1,1,0,0,0,237,34,2,238,0
124,1,0,1,0,0,0,0,230,43,2,230,0
125,1,0,1,0,0,0,0,228,49,4,229,0
126,1,0,1,0,0,0,0,227,52,2,229,0
127,1,0,1,0,0,0,0,225,55,1,225,0
128,1,0,1,0,0,0,0,223,60,3,223,0
129,1,0,1,0,0,0,0,225,60,2,225,0
130,1,0,0,1,0,0,0,226,60,1,225,0
131,3,1,1,1,0,0,0,223,65,2,224,0
132,1,0,0,1,0,0,0,222,69,3,223,0
133,1,0,1,0,0,0,0,224,69,3,223,0
134,1,0,1,0,0,0,0,223,70,0,223,0
135,1,0,1,0,0,0,0,220,73,0,219,0
136,1,0,0,1,0,0,0,219,76,2,219,0
137,1,0,1,0,0,0,0,218,79,2,217,0
138,1,0,1,0,0,0,0,214,83,0,215,0
139,2,0,1,1,0,0,0,210,87,0,209,0
140,31,0,0,1,26,4,1,201,21,2,201,0
141,1,0,1,0,0,0,0,202,22,2,202,0
142,1,0,1,0,0,0,0,202,22,0,201,0
143,1,1,0,0,0,0,0,199,25,0,198,0
144,1,0,1,0,0,0,0,198,28,2,198,0
145,1,0,0,1,0,0,1,200,28,2,199,0
146,1,0,1,0,0,0,0,200,28,0,199,0
147,1,0,0,1,0,0,0,197,31,0,196,0
148,1,0,1,0,0,0,0,193,37,2,194,0
149,1,0,0,1,0,0,0,195,37,2,194,0
150,2,0,0,2,0,0,0,167,65,0,166,0
151,1,0,1,0,0,0,0,167,65,0,166,0
152,1,0,0,1,0,0,0,167,68,3,166,0
153,1,0,1,0,0,0,0,160,77,3,163,0
154,1,0,1,0,0,0,0,159,78,0,158,0
155,1,1,0,0,0,0,0,159,78,0,158,0
156,1,0,1,0,0,0,0,159,80,2,158,0
157,1,0,0,1,0,0,0,161,80,3,160,0
158,2,0,1,1,0,0,0,160,81,0,160,0
159,1,0,1,0,0,0,0,155,86,0,153,0
160,120,0,0,1,115,4,0,151,1,0,151,0
161,1,0,0,1,0,0,0,153,3,4,152,0
162,1,0,1,0,0,0,0,152,4,0,152,0
163,0,0,0,0,0,0,0,152,4,0,152,0
164,0,0,0,0,0,0,1,152,4,0,152,0
165,1,0,1,0,0,0,0,154,6,4,154,0
166,1,0,0,1,0,0,0,154,6,0,154,0
167,1,0,1,0,0,0,0,153,7,0,152,0
168,1,0,0,1,0,0,0,149,11,0,150,0
169,1,0,1,0,0,0,0,151,13,4,151,0
170,1,0,0,1,0,0,0,149,15,0,149,0
171,1,0,0,1,0,0,0,148,16,0,147,0
172,1,0,0,1,0,0,0,147,18,1,147,0
173,1,0,1,0,0,0,0,149,20,4,149,0
174,0,0,0,0,0,0,1,149,20,0,149,0
175,0,0,0,0,0,0,1,148,21,0,148,0
176,1,0,1,0,0,0,0,148,21,0,148,0
177,1,0,0,1,0,0,0,149,24,4,150,0
178,0,0,0,0,0,0,0,149,24,0,149,0
179,1,0,1,0,0,0,1,149,24,0,149,0
180,19,0,0,1,15,3,0,147,1,0,147,0
181,1,0,0,1,0,0,0,148,4,4,147,0
182,0,0,0,0,0,0,0,146,6,0,147,0
183,1,0,1,0,0,0,0,145,7,0,145,0
184,0,0,0,0,0,0,0,145,7,0,145,0
185,1,0,1,0,0,0,0,147,9,4,147,0
186,1,0,0,1,0,0,0,147,9,0,147,0
187,1,0,0,1,0,0,0,147,9,0,147,0
188,1,0,1,0,0,0,0,147,9,0,147,0
189,0,0,0,0,0,0,0,149,11,4,149,0
190,1,0,1,0,0,0,0,149,11,0,149,0
191,1,0,0,1,0,0,0,147,13,0,148,0
192,1,0,0,1,0,0,0,145,16,1,145,0
193,1,0,0,1,0,0,0,146,19,4,145,0
194,1,0,0,1,0,0,0,144,21,0,143,0
195,0,0,0,0,0,0,0,143,22,0,141,0
